title,year,genre,rating,movie_url,user_agent
The Treasure of the Sierra Madre,1948,Adventure,8.2,https://www.imdb.com/title/tt0040897/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
Rashomon,1950,Crime,8.2,https://www.imdb.com/title/tt0042876/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
All About Eve,1950,Drama,8.2,https://www.imdb.com/title/tt0042192/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
The Wages of Fear,1953,Adventure,8.2,https://www.imdb.com/title/tt0046268/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
Tokyo Story,1953,Drama,8.2,https://www.imdb.com/title/tt0046438/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
The Passion of Joan of Arc,1928,Biography,8.2,https://www.imdb.com/title/tt0019254/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
Yojimbo,1961,Action,8.2,https://www.imdb.com/title/tt0055630/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
The Bridge on the River Kwai,1957,Adventure,8.2,https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
Chinatown,1974,Drama,8.2,https://www.imdb.com/title/tt0071315/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
The Great Escape,1963,Adventure,8.2,https://www.imdb.com/title/tt0057115/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
Dersu Uzala,1975,Adventure,8.2,https://www.imdb.com/title/tt0071411/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
Taxi Driver,1976,Crime,8.2,https://www.imdb.com/title/tt0075314/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
The Elephant Man,1980,Biography,8.2,https://www.imdb.com/title/tt0080678/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
Raging Bull,1980,Biography,8.2,https://www.imdb.com/title/tt0081398/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
Ran,1985,Action,8.2,https://www.imdb.com/title/tt0089881/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
Unforgiven,1992,Drama,8.2,https://www.imdb.com/title/tt0105695/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
